[2023-10-21 12:03:51,573] INFO [Controller id=1 epoch=3] Sending UpdateMetadata request to brokers HashSet(1) for 0 partitions (state.change.logger)
[2023-10-21 12:03:51,622] INFO [Controller id=1 epoch=3] Sending LeaderAndIsr request to broker 1 with 54 become-leader and 0 become-follower partitions (state.change.logger)
[2023-10-21 12:03:51,625] INFO [Controller id=1 epoch=3] Sending UpdateMetadata request to brokers HashSet(1) for 54 partitions (state.change.logger)
[2023-10-21 12:03:51,772] INFO [Broker id=1] Handling LeaderAndIsr request correlationId 1 from controller 1 for 54 partitions (state.change.logger)
[2023-10-21 12:03:51,819] INFO [Broker id=1] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 1 epoch 3 as part of the become-leader transition for 54 partitions (state.change.logger)
[2023-10-21 12:03:51,836] INFO [Broker id=1] Leader __consumer_offsets-3 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,844] INFO [Broker id=1] Leader __consumer_offsets-18 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,848] INFO [Broker id=1] Leader __consumer_offsets-41 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,851] INFO [Broker id=1] Leader __consumer_offsets-10 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,854] INFO [Broker id=1] Leader practica2-0 with topic id Some(dM1-nUhFQrmvRLiJwGWp4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,857] INFO [Broker id=1] Leader __consumer_offsets-33 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,860] INFO [Broker id=1] Leader __consumer_offsets-48 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,866] INFO [Broker id=1] Leader __consumer_offsets-19 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,869] INFO [Broker id=1] Leader __consumer_offsets-34 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,873] INFO [Broker id=1] Leader __consumer_offsets-4 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-10-21 12:03:51,876] INFO [Broker id=1] Leader __consumer_offsets-11 with topic id Some(5iPnpvHiSA23HcMscWCQ_Q) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [1], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
